2025-11-04 02:00:14,319 | WARNING | GET /products completed in 1.939s with status 500
2025-11-04 02:00:14,329 | WARNING | GET /recommend/user123 completed in 1.996s with status 500
2025-11-04 02:00:43,505 | INFO | Snowflake Connector for Python Version: 4.0.0, Python Version: 3.12.7, Platform: Windows-11-10.0.26200-SP0
2025-11-04 02:00:43,507 | INFO | Snowflake Connector for Python Version: 4.0.0, Python Version: 3.12.7, Platform: Windows-11-10.0.26200-SP0
2025-11-04 02:00:43,507 | INFO | Connecting to GLOBAL Snowflake domain
2025-11-04 02:00:43,508 | INFO | Connecting to GLOBAL Snowflake domain
2025-11-04 02:00:46,108 | WARNING | GET /recommend/user123 completed in 2.605s with status 500
2025-11-04 02:00:46,116 | INFO | Snowflake Connector for Python Version: 4.0.0, Python Version: 3.12.7, Platform: Windows-11-10.0.26200-SP0
2025-11-04 02:00:46,116 | INFO | Connecting to GLOBAL Snowflake domain
2025-11-04 02:00:46,377 | WARNING | GET /products completed in 2.873s with status 500
2025-11-04 02:00:46,380 | INFO | Snowflake Connector for Python Version: 4.0.0, Python Version: 3.12.7, Platform: Windows-11-10.0.26200-SP0
2025-11-04 02:00:46,381 | INFO | Connecting to GLOBAL Snowflake domain
2025-11-04 02:00:47,141 | WARNING | GET /recommend/user123 completed in 1.028s with status 500
2025-11-04 02:00:47,578 | WARNING | GET /products completed in 1.198s with status 500
2025-11-04 02:03:13,560 | INFO | Snowflake Connector for Python Version: 4.0.0, Python Version: 3.12.7, Platform: Windows-11-10.0.26200-SP0
2025-11-04 02:03:13,560 | INFO | Connecting to GLOBAL Snowflake domain
2025-11-04 02:03:13,561 | INFO | Snowflake Connector for Python Version: 4.0.0, Python Version: 3.12.7, Platform: Windows-11-10.0.26200-SP0
2025-11-04 02:03:13,561 | INFO | Connecting to GLOBAL Snowflake domain
2025-11-04 02:03:16,087 | WARNING | GET /products completed in 2.527s with status 500
2025-11-04 02:03:16,094 | INFO | Snowflake Connector for Python Version: 4.0.0, Python Version: 3.12.7, Platform: Windows-11-10.0.26200-SP0
2025-11-04 02:03:16,095 | INFO | Connecting to GLOBAL Snowflake domain
2025-11-04 02:03:16,166 | WARNING | GET /recommend/user123 completed in 2.61s with status 500
2025-11-04 02:03:16,174 | INFO | Snowflake Connector for Python Version: 4.0.0, Python Version: 3.12.7, Platform: Windows-11-10.0.26200-SP0
2025-11-04 02:03:16,174 | INFO | Connecting to GLOBAL Snowflake domain
2025-11-04 02:03:18,217 | WARNING | GET /products completed in 2.126s with status 500
2025-11-04 02:03:18,631 | WARNING | GET /recommend/user123 completed in 2.463s with status 500
2025-11-04 02:05:16,886 | INFO | Snowflake Connector for Python Version: 4.0.0, Python Version: 3.12.7, Platform: Windows-11-10.0.26200-SP0
2025-11-04 02:05:16,893 | INFO | Snowflake Connector for Python Version: 4.0.0, Python Version: 3.12.7, Platform: Windows-11-10.0.26200-SP0
2025-11-04 02:05:16,894 | INFO | Connecting to GLOBAL Snowflake domain
2025-11-04 02:05:16,895 | INFO | Connecting to GLOBAL Snowflake domain
2025-11-04 02:05:20,808 | WARNING | GET /recommend/user123 completed in 3.925s with status 500
2025-11-04 02:05:20,823 | INFO | Snowflake Connector for Python Version: 4.0.0, Python Version: 3.12.7, Platform: Windows-11-10.0.26200-SP0
2025-11-04 02:05:20,825 | INFO | Connecting to GLOBAL Snowflake domain
2025-11-04 02:05:21,367 | INFO | GET /products completed in 4.485s with status 200
2025-11-04 02:05:21,372 | INFO | Snowflake Connector for Python Version: 4.0.0, Python Version: 3.12.7, Platform: Windows-11-10.0.26200-SP0
2025-11-04 02:05:21,373 | INFO | Connecting to GLOBAL Snowflake domain
2025-11-04 02:05:22,893 | WARNING | GET /recommend/user123 completed in 2.079s with status 500
2025-11-04 02:05:23,524 | INFO | GET /products completed in 2.153s with status 200
2025-11-04 02:07:23,742 | INFO | Snowflake Connector for Python Version: 4.0.0, Python Version: 3.12.7, Platform: Windows-11-10.0.26200-SP0
2025-11-04 02:07:23,742 | INFO | Connecting to GLOBAL Snowflake domain
2025-11-04 02:07:26,523 | INFO | Snowflake Connector for Python Version: 4.0.0, Python Version: 3.12.7, Platform: Windows-11-10.0.26200-SP0
2025-11-04 02:07:26,524 | INFO | Snowflake Connector for Python Version: 4.0.0, Python Version: 3.12.7, Platform: Windows-11-10.0.26200-SP0
2025-11-04 02:07:26,525 | INFO | Connecting to GLOBAL Snowflake domain
2025-11-04 02:07:26,525 | INFO | Connecting to GLOBAL Snowflake domain
2025-11-04 02:07:27,948 | INFO | GET /reviews/AVpiUMISilAPnD_xC-hu completed in 4.231s with status 200
2025-11-04 02:07:28,332 | INFO | GET /products completed in 1.812s with status 200
2025-11-04 02:07:28,346 | INFO | Snowflake Connector for Python Version: 4.0.0, Python Version: 3.12.7, Platform: Windows-11-10.0.26200-SP0
2025-11-04 02:07:28,347 | INFO | Connecting to GLOBAL Snowflake domain
2025-11-04 02:07:28,625 | WARNING | GET /recommend/user123 completed in 2.105s with status 500
2025-11-04 02:07:28,637 | INFO | Snowflake Connector for Python Version: 4.0.0, Python Version: 3.12.7, Platform: Windows-11-10.0.26200-SP0
2025-11-04 02:07:28,638 | INFO | Connecting to GLOBAL Snowflake domain
2025-11-04 02:07:30,280 | INFO | GET /products completed in 1.936s with status 200
2025-11-04 02:07:30,460 | WARNING | GET /recommend/user123 completed in 1.829s with status 500
2025-11-04 02:08:48,960 | INFO | Snowflake Connector for Python Version: 4.0.0, Python Version: 3.12.7, Platform: Windows-11-10.0.26200-SP0
2025-11-04 02:08:48,969 | INFO | Connecting to GLOBAL Snowflake domain
2025-11-04 02:08:48,969 | INFO | Snowflake Connector for Python Version: 4.0.0, Python Version: 3.12.7, Platform: Windows-11-10.0.26200-SP0
2025-11-04 02:08:48,971 | INFO | Connecting to GLOBAL Snowflake domain
2025-11-04 02:08:53,576 | WARNING | GET /recommend/user123 completed in 4.619s with status 500
2025-11-04 02:08:53,587 | INFO | Snowflake Connector for Python Version: 4.0.0, Python Version: 3.12.7, Platform: Windows-11-10.0.26200-SP0
2025-11-04 02:08:53,588 | INFO | Connecting to GLOBAL Snowflake domain
2025-11-04 02:08:53,646 | INFO | GET /products completed in 4.687s with status 200
2025-11-04 02:08:53,655 | INFO | Snowflake Connector for Python Version: 4.0.0, Python Version: 3.12.7, Platform: Windows-11-10.0.26200-SP0
2025-11-04 02:08:53,656 | INFO | Connecting to GLOBAL Snowflake domain
2025-11-04 02:08:55,760 | INFO | GET /products completed in 2.106s with status 200
2025-11-04 02:08:55,966 | WARNING | GET /recommend/user123 completed in 2.385s with status 500
2025-11-04 02:10:51,297 | INFO | Snowflake Connector for Python Version: 4.0.0, Python Version: 3.12.7, Platform: Windows-11-10.0.26200-SP0
2025-11-04 02:10:51,297 | INFO | Connecting to GLOBAL Snowflake domain
2025-11-04 02:10:53,351 | INFO | GET /products completed in 2.055s with status 200
2025-11-04 02:10:53,358 | INFO | Snowflake Connector for Python Version: 4.0.0, Python Version: 3.12.7, Platform: Windows-11-10.0.26200-SP0
2025-11-04 02:10:53,359 | INFO | Connecting to GLOBAL Snowflake domain
2025-11-04 02:10:55,277 | INFO | GET /products completed in 1.92s with status 200
2025-11-04 02:10:55,280 | INFO | Snowflake Connector for Python Version: 4.0.0, Python Version: 3.12.7, Platform: Windows-11-10.0.26200-SP0
2025-11-04 02:10:55,281 | INFO | Connecting to GLOBAL Snowflake domain
2025-11-04 02:10:57,539 | INFO | GET /products completed in 2.26s with status 200
2025-11-04 02:11:08,926 | INFO | Snowflake Connector for Python Version: 4.0.0, Python Version: 3.12.7, Platform: Windows-11-10.0.26200-SP0
2025-11-04 02:11:08,927 | INFO | Connecting to GLOBAL Snowflake domain
2025-11-04 02:11:11,748 | INFO | GET /products completed in 2.822s with status 200
2025-11-04 02:11:11,753 | INFO | Snowflake Connector for Python Version: 4.0.0, Python Version: 3.12.7, Platform: Windows-11-10.0.26200-SP0
2025-11-04 02:11:11,754 | INFO | Connecting to GLOBAL Snowflake domain
2025-11-04 02:11:14,632 | INFO | GET /products completed in 2.879s with status 200
2025-11-04 02:52:47,224 | INFO | Snowflake Connector for Python Version: 4.0.0, Python Version: 3.12.7, Platform: Windows-11-10.0.26200-SP0
2025-11-04 02:52:47,226 | INFO | Connecting to GLOBAL Snowflake domain
2025-11-04 02:52:52,683 | INFO | GET /products completed in 5.465s with status 200
2025-11-04 02:52:52,694 | INFO | Snowflake Connector for Python Version: 4.0.0, Python Version: 3.12.7, Platform: Windows-11-10.0.26200-SP0
2025-11-04 02:52:52,695 | INFO | Connecting to GLOBAL Snowflake domain
2025-11-04 02:52:55,168 | INFO | GET /products completed in 2.476s with status 200
2025-11-04 03:09:18,501 | INFO | Snowflake Connector for Python Version: 4.0.0, Python Version: 3.12.7, Platform: Windows-11-10.0.26200-SP0
2025-11-04 03:09:18,503 | INFO | Connecting to GLOBAL Snowflake domain
2025-11-04 03:09:21,450 | INFO | GET /products completed in 2.95s with status 200
2025-11-04 03:09:21,459 | INFO | Snowflake Connector for Python Version: 4.0.0, Python Version: 3.12.7, Platform: Windows-11-10.0.26200-SP0
2025-11-04 03:09:21,462 | INFO | Connecting to GLOBAL Snowflake domain
2025-11-04 03:09:23,555 | INFO | GET /products completed in 2.097s with status 200
2025-11-04 03:09:23,562 | INFO | Snowflake Connector for Python Version: 4.0.0, Python Version: 3.12.7, Platform: Windows-11-10.0.26200-SP0
2025-11-04 03:09:23,563 | INFO | Connecting to GLOBAL Snowflake domain
